Name,Cuisine,Location,Rating,Price Range,Description,Image,Address,Private Room,Max Capacity
The Dempsey Cookhouse & Bar,Modern European,Dempsey Hill,4.5,$$$,"Chic restaurant by Jean-Georges Vongerichten, offering a sophisticated dining experience.",https://placehold.co/600x400/FF5733/FFFFFF?text=Dempsey+Cookhouse,,No,
Odette,French,City Hall,5.0,$$$$,"Three Michelin-starred modern French restaurant, known for its exquisite tasting menus.",https://placehold.co/600x400/33FF57/000000?text=Odette,,No,
Burnt Ends,Australian BBQ,Outram Park,4.7,$$$,Modern Australian barbecue with an open-concept kitchen and custom-built ovens.,https://placehold.co/600x400/3357FF/FFFFFF?text=Burnt+Ends,,No,
Candlenut,Peranakan,Dempsey Hill,4.3,$$,"The world's first Michelin-starred Peranakan restaurant, offering refined Straits-Chinese cuisine.",https://placehold.co/600x400/FF33A1/FFFFFF?text=Candlenut,,No,
Jumbo Seafood,Seafood,Riverside Point,4.2,$$,"Famous for its Chili Crab and Black Pepper Crab, a must-visit for seafood lovers.",https://placehold.co/600x400/A1FF33/000000?text=Jumbo+Seafood,,No,
Tiong Bahru Bakery,Cafe,Tiong Bahru,4.0,$,"Popular spot for freshly baked pastries, coffee, and a relaxed atmosphere.",https://placehold.co/600x400/33A1FF/FFFFFF?text=Tiong+Bahru+Bakery,,No,
Newton Food Centre,Local Hawker,Newton,3.8,$,An iconic hawker centre offering a wide variety of local Singaporean dishes.,https://placehold.co/600x400/FFBB33/000000?text=Newton+Food+Centre,,No,
PS.Cafe Harding Road,Western/Cafe,Dempsey Hill,4.1,$$,"A popular cafe chain known for its truffle fries, relaxed ambiance, and lush surroundings.",https://placehold.co/600x400/BB33FF/FFFFFF?text=PS.Cafe,,No,
National Kitchen by Violet Oon,Peranakan,City Hall,4.4,$$$,Elegant restaurant serving classic Peranakan dishes in a grand setting at the National Gallery.,https://placehold.co/600x400/33FFBB/000000?text=National+Kitchen,,No,
Les Amis,French,Orchard,4.9,$$$$,"One of Singapore's oldest independent fine-dining French restaurants, with three Michelin stars.",https://placehold.co/600x400/FF3333/FFFFFF?text=Les+Amis,,No,
test restaurant,western,orchard,3.0,$$,test description,,,No,
test 3,french,demsey,3.0,$$,test decriptions,https://placehold.co/600x400/CCCCCC/000000?text=Image+Not+Available,123 dempsey road,No,
wewf,rwfw,Outram Park,3.0,$$,ewqfq,https://placehold.co/600x400/CCCCCC/000000?text=Image+Not+Available,rwrqfq,No,
